name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
United States,USA,USD,2.24,1.0,32833.67,32833.67,2000-04-01
United States,USA,USD,2.24,1.0,34496.24,34496.24,2001-04-01
United States,USA,USD,2.35,1.0,36312.78,36312.78,2002-04-01
United States,USA,USD,2.46,1.0,37101.45,37101.45,2003-04-01
United States,USA,USD,2.47,1.0,37945.76,37945.76,2004-05-01
United States,USA,USD,2.58,1.0,39405.35,39405.35,2005-06-01
United States,USA,USD,2.67,1.0,41641.62,41641.62,2006-01-01
United States,USA,USD,2.78,1.0,41641.62,41641.62,2006-05-01
United States,USA,USD,2.89,1.0,44034.26,44034.26,2007-01-01
United States,USA,USD,3.0,1.0,44034.26,44034.26,2007-06-01
United States,USA,USD,3.21,1.0,46216.85,46216.85,2008-06-01
United States,USA,USD,3.43,1.0,47943.35,47943.35,2009-07-01
United States,USA,USD,3.43,1.0,48470.55,48470.55,2010-01-01
United States,USA,USD,3.53,1.0,48470.55,48470.55,2010-07-01
United States,USA,USD,3.64,1.0,47102.43,47102.43,2011-07-01
United States,USA,USD,3.81,1.0,48586.29,48586.29,2012-01-01
United States,USA,USD,3.96,1.0,48586.29,48586.29,2012-07-01
United States,USA,USD,4.03,1.0,50008.11,50008.11,2013-01-01
United States,USA,USD,4.18,1.0,50008.11,50008.11,2013-07-01
United States,USA,USD,4.24,1.0,51736.74,51736.74,2014-01-01
United States,USA,USD,4.29,1.0,51736.74,51736.74,2014-07-01
United States,USA,USD,4.29,1.0,53245.52,53245.52,2015-01-01
United States,USA,USD,4.29,1.0,53245.52,53245.52,2015-07-01
United States,USA,USD,4.29,1.0,55083.51,55083.51,2016-01-01
United States,USA,USD,4.5,1.0,55083.51,55083.51,2016-07-01
United States,USA,USD,4.5,1.0,56729.68,56729.68,2017-01-01
United States,USA,USD,4.5,1.0,56729.68,56729.68,2017-07-01
United States,USA,USD,4.61,1.0,57839.99,57839.99,2018-01-01
United States,USA,USD,4.62,1.0,57839.99,57839.99,2018-07-01
United States,USA,USD,4.71,1.0,59878.72,59878.72,2019-01-01
United States,USA,USD,4.71,1.0,59878.72,59878.72,2019-07-09
United States,USA,USD,4.82,1.0,62787.78,62787.78,2020-01-14
United States,USA,USD,4.82,1.0,62787.78,62787.78,2020-07-01
United States,USA,USD,4.89,1.0,65077.3,65077.3,2021-01-01
United States,USA,USD,4.93,1.0,65077.3,65077.3,2021-07-01
United States,USA,USD,5.04,1.0,63577.34,63577.34,2022-01-01
United States,USA,USD,5.15,1.0,63577.34,63577.34,2022-07-01
United States,USA,USD,5.36,1.0,70159.77,70159.77,2023-01-01
United States,USA,USD,5.58,1.0,70159.77,70159.77,2023-07-01
United States,USA,USD,5.69,1.0,76343.25,76343.25,2024-01-01
