name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,us_local_price,big_mac_ex,over_under_value
Argentina,ARG,ARS,2.5,1.0,9283.18,9283.18,2000-04-01,2.24,1.1160714285714284,0.11607142857142838
Australia,AUS,AUD,2.59,1.68,20388.81,32394.17,2000-04-01,2.24,1.1562499999999998,-0.3117559523809525
Brazil,BRA,BRL,2.95,1.79,5199.45,6029.89,2000-04-01,2.24,1.3169642857142856,-0.2642657621707902
Canada,CAN,CAD,2.85,1.47,21046.56,31222.68,2000-04-01,2.24,1.2723214285714284,-0.13447521865889225
Switzerland,CHE,CHF,5.9,1.7,42724.37,61942.36,2000-04-01,2.24,2.633928571428571,0.5493697478991596
Chile,CHL,CLP,1260.0,514.0,5475.55,2520325.55,2000-04-01,2.24,562.5,0.0943579766536965
China,CHN,CNY,9.9,8.28,820.903,6796.26,2000-04-01,2.24,4.419642857142857,-0.46622670807453415
Czech Republic,CZE,CZK,54.37,39.1,6484.2,209398.76,2000-04-01,2.24,24.272321428571423,-0.379224515893314
Denmark,DNK,DKK,24.75,8.04,33426.97,223988.36,2000-04-01,2.24,11.049107142857142,0.37426705756929646
Euro area,EUZ,EUR,2.56,1.075268817,,,2000-04-01,2.24,1.1428571428571428,0.06285714305908567
Britain,GBR,GBP,1.9,0.632911392,28306.43,17089.8,2000-04-01,2.24,0.8482142857142856,0.34017857228628545
Hong Kong,HKG,HKD,10.2,7.79,25649.09,198692.77,2000-04-01,2.24,4.553571428571428,-0.41545938015771144
Hungary,HUN,HUF,339.0,279.0,4738.02,1015838.42,2000-04-01,2.24,151.3392857142857,-0.4575652841781875
Indonesia,IDN,IDR,14500.0,7945.0,572.09,5728696.1,2000-04-01,2.24,6473.214285714285,-0.18524678593904528
Israel,ISR,ILS,14.5,4.05,20119.21,76454.51,2000-04-01,2.24,6.473214285714285,0.5983245149911814
Japan,JPN,JPY,294.0,106.0,32436.93,4246165.9,2000-04-01,2.24,131.25,0.23820754716981132
South Korea,KOR,KRW,3000.0,1108.0,8271.41,11606307.78,2000-04-01,2.24,1339.2857142857142,0.20874161939143882
Mexico,MEX,MXN,20.9,9.41,5800.06,52987.4,2000-04-01,2.24,9.33035714285714,-0.008463640504023333
Malaysia,MYS,MYR,4.52,3.8,3521.12,13812.88,2000-04-01,2.24,2.0178571428571423,-0.46898496240601517
New Zealand,NZL,NZD,3.4,2.01,14888.77,27744.12,2000-04-01,2.24,1.5178571428571426,-0.2448471926083867
Poland,POL,PLN,5.5,4.3,4459.1,15573.88,2000-04-01,2.24,2.455357142857143,-0.42898671096345514
Russia,RUS,RUB,39.5,28.5,1949.8,19097.39,2000-04-01,2.24,17.63392857142857,-0.3812656641604011
Singapore,SGP,SGD,3.2,1.7,21829.28,36533.52,2000-04-01,2.24,1.4285714285714286,-0.15966386554621845
Sweden,SWE,SEK,24.0,8.84,30585.08,243147.36,2000-04-01,2.24,10.714285714285714,0.2120232708468002
